utterance                                                                   , intent        , tokens                                                                                                                                                                 , token_ids
remind me to take a walk during lunch break                                 , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġtake', 'Ġa', 'Ġwalk', 'Ġduring', 'Ġlunch', 'Ġbreak']"                                                                                      , "[482, 283, 282, 837, 262, 1056, 1473, 1548, 947]"
set a reminder to call the insurance company                                , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġcall', 'Ġthe', 'Ġinsurance', 'Ġcompany']"                                                                                         , "[409, 262, 516, 282, 563, 269, 2816, 2771]"
don't forget to remind me about the dentist appointment                     , reminder      , "['do', 'Ġnot', 'Ġforget', 'Ġto', 'Ġremind', 'Ġme', 'Ġabout', 'Ġthe', 'Ġdentist', 'Ġappointment']"                                                                     , "[450, 427, 843, 282, 412, 283, 449, 269, 1791, 1190]"
remind me to send the follow-up email tomorrow                              , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġsend', 'Ġthe', 'Ġfollow', 'Ġ-', 'Ġup', 'Ġemail', 'Ġtomorrow']"                                                                             , "[482, 283, 282, 959, 269, 1514, 344, 325, 964, 936]"
set a reminder to clean the aquarium this weekend                           , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġclean', 'Ġthe', 'Ġaquarium', 'Ġthis', 'Ġweekend']"                                                                                , "[409, 262, 516, 282, 746, 269, 5326, 346, 1338]"
please remind me to charge my laptop tonight                                , reminder      , "['please', 'Ġremind', 'Ġme', 'Ġto', 'Ġcharge', 'Ġmy', 'Ġlaptop', 'Ġtonight']"                                                                                         , "[504, 412, 283, 282, 3070, 345, 1642, 1220]"
remind me to call the plumber in the morning                                , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġcall', 'Ġthe', 'Ġplumber', 'Ġin', 'Ġthe', 'Ġmorning']"                                                                                     , "[482, 283, 282, 563, 269, 3022, 311, 269, 865]"
set a reminder to pay the electricity bill                                  , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġpay', 'Ġthe', 'Ġelectricity', 'Ġbill']"                                                                                           , "[409, 262, 516, 282, 1603, 269, 3088, 1927]"
don't let me forget to water the garden                                     , reminder      , "['do', 'Ġnot', 'Ġlet', 'Ġme', 'Ġforget', 'Ġto', 'Ġwater', 'Ġthe', 'Ġgarden']"                                                                                         , "[450, 427, 1371, 283, 843, 282, 694, 269, 1218]"
remind me to schedule a meeting with the team                               , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġschedule', 'Ġa', 'Ġmeeting', 'Ġwith', 'Ġthe', 'Ġteam']"                                                                                    , "[482, 283, 282, 1089, 262, 1038, 367, 269, 1562]"
set a reminder to buy a gift for the anniversary                            , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġbuy', 'Ġa', 'Ġgift', 'Ġfor', 'Ġthe', 'Ġanniversary']"                                                                             , "[409, 262, 516, 282, 1573, 262, 2965, 298, 269, 4235]"
please alert me to check the weather forecast                               , reminder      , "['please', 'Ġalert', 'Ġme', 'Ġto', 'Ġcheck', 'Ġthe', 'Ġweather', 'Ġforecast']"                                                                                        , "[504, 1045, 283, 282, 540, 269, 932, 1978]"
remind me to take the recycling out on Friday                               , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġtake', 'Ġthe', 'Ġrecycling', 'Ġout', 'Ġon', 'Ġfriday']"                                                                                    , "[482, 283, 282, 837, 269, 5238, 458, 322, 1517]"
set a reminder to call the bank regarding the loan                          , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġcall', 'Ġthe', 'Ġbank', 'Ġreg', 'ard', 'Ġthe', 'Ġlo', 'an']"                                                                      , "[409, 262, 516, 282, 563, 269, 1928, 1203, 538, 269, 706, 286]"
don't forget to remind me to update the software                            , reminder      , "['do', 'Ġnot', 'Ġforget', 'Ġto', 'Ġremind', 'Ġme', 'Ġto', 'Ġupdate', 'Ġthe', 'Ġsoftware']"                                                                            , "[450, 427, 843, 282, 412, 283, 282, 744, 269, 1383]"
remind me to take a break every hour                                        , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġtake', 'Ġa', 'Ġbreak', 'Ġevery', 'Ġhour']"                                                                                                 , "[482, 283, 282, 837, 262, 947, 1129, 1205]"
set a reminder to order the new office supplies                             , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġorder', 'Ġthe', 'Ġnew', 'Ġoffice', 'Ġsupplies']"                                                                                  , "[409, 262, 516, 282, 2022, 269, 545, 1966, 4110]"
please remind me to back up my files                                        , reminder      , "['please', 'Ġremind', 'Ġme', 'Ġto', 'Ġback', 'Ġup', 'Ġmy', 'Ġfiles']"                                                                                                 , "[504, 412, 283, 282, 660, 325, 345, 1281]"
alert me to review the quarterly report                                     , reminder      , "['alert', 'Ġme', 'Ġto', 'Ġreview', 'Ġthe', 'Ġquarterly', 'Ġreport']"                                                                                                  , "[687, 283, 282, 770, 269, 4190, 1330]"
remind me to schedule a haircut appointment                                 , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġschedule', 'Ġa', 'Ġhaircut', 'Ġappointment']"                                                                                              , "[482, 283, 282, 1089, 262, 4198, 1190]"
set a reminder to check the mailbox                                         , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġcheck', 'Ġthe', 'Ġmailbox']"                                                                                                      , "[409, 262, 516, 282, 540, 269, 2563]"
don't let me forget to send the thank-you notes                             , reminder      , "['do', 'Ġnot', 'Ġlet', 'Ġme', 'Ġforget', 'Ġto', 'Ġsend', 'Ġthe', 'Ġthank', 'Ġ-', 'Ġyou', 'Ġnote']"                                                                    , "[450, 427, 1371, 283, 843, 282, 959, 269, 2147, 344, 314, 785]"
remind me to clean the coffee machine                                       , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġclean', 'Ġthe', 'Ġcoffee', 'Ġmachine']"                                                                                                    , "[482, 283, 282, 746, 269, 1279, 1137]"
set a reminder to call the doctor for test results                          , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġcall', 'Ġthe', 'Ġdoctor', 'Ġfor', 'Ġtest', 'Ġresults']"                                                                           , "[409, 262, 516, 282, 563, 269, 2704, 298, 2199, 2238]"
please alert me to water the lawn in the evening                            , reminder      , "['please', 'Ġalert', 'Ġme', 'Ġto', 'Ġwater', 'Ġthe', 'Ġlawn', 'Ġin', 'Ġthe', 'Ġevening']"                                                                             , "[504, 1045, 283, 282, 694, 269, 4034, 311, 269, 1253]"
remind me to update my resume                                               , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġupdate', 'Ġmy', 'Ġresume']"                                                                                                                , "[482, 283, 282, 744, 345, 1679]"
set a reminder to buy tickets for the concert                               , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġbuy', 'Ġtickets', 'Ġfor', 'Ġthe', 'Ġconcert']"                                                                                    , "[409, 262, 516, 282, 1573, 2584, 298, 269, 1712]"
don't forget to remind me to call the travel agent                          , reminder      , "['do', 'Ġnot', 'Ġforget', 'Ġto', 'Ġremind', 'Ġme', 'Ġto', 'Ġcall', 'Ġthe', 'Ġtravel', 'Ġagent']"                                                                      , "[450, 427, 843, 282, 412, 283, 282, 563, 269, 757, 4977]"
remind me to check the tire pressure                                        , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġcheck', 'Ġthe', 'Ġtire', 'Ġpressure']"                                                                                                     , "[482, 283, 282, 540, 269, 1559, 2251]"
set a reminder to send the invoice to the client                            , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġsend', 'Ġthe', 'Ġinvoice', 'Ġto', 'Ġthe', 'Ġclient']"                                                                             , "[409, 262, 516, 282, 959, 269, 3078, 282, 269, 1700]"
please remind me to pack for the business trip                              , reminder      , "['please', 'Ġremind', 'Ġme', 'Ġto', 'Ġpack', 'Ġfor', 'Ġthe', 'Ġbusiness', 'Ġtrip']"                                                                                   , "[504, 412, 283, 282, 1819, 298, 269, 3148, 2566]"
alert me to attend the online workshop at 2 PM                              , reminder      , "['alert', 'Ġme', 'Ġto', 'Ġattend', 'Ġthe', 'Ġonline', 'Ġworkshop', 'Ġat', 'Ġ2', 'Ġpm']"                                                                               , "[687, 283, 282, 3105, 269, 917, 3024, 395, 639, 762]"
remind me to clean the garage this weekend                                  , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġclean', 'Ġthe', 'Ġgarage', 'Ġthis', 'Ġweekend']"                                                                                           , "[482, 283, 282, 746, 269, 2183, 346, 1338]"
set a reminder to call the vet for an appointment                           , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġcall', 'Ġthe', 'Ġvet', 'Ġfor', 'Ġan', 'Ġappointment']"                                                                            , "[409, 262, 516, 282, 563, 269, 2970, 298, 316, 1190]"
don't let me forget to water the bonsai tree                                , reminder      , "['do', 'Ġnot', 'Ġlet', 'Ġme', 'Ġforget', 'Ġto', 'Ġwater', 'Ġthe', 'Ġbonsai', 'Ġtree']"                                                                                , "[450, 427, 1371, 283, 843, 282, 694, 269, 5345, 1509]"
remind me to send the holiday cards                                         , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġsend', 'Ġthe', 'Ġholiday', 'Ġcards']"                                                                                                      , "[482, 283, 282, 959, 269, 2229, 5076]"
remind me to send the monthly report by Friday                              , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġsend', 'Ġthe', 'Ġmonthly', 'Ġreport', 'Ġby', 'Ġfriday']"                                                                                   , "[482, 283, 282, 959, 269, 2565, 1330, 724, 1517]"
alert me one hour before the movie starts                                   , reminder      , "['alert', 'Ġme', 'Ġone', 'Ġhour', 'Ġbefore', 'Ġthe', 'Ġmovie', 'Ġstart']"                                                                                             , "[687, 283, 995, 1205, 890, 269, 1002, 626]"
ping me when it's time to submit the survey                                 , reminder      , "['pe', 'Ġme', 'Ġwhen', 'Ġit', 'Ġbe', 'Ġtime', 'Ġto', 'Ġsubmit', 'Ġthe', 'Ġsurvey']"                                                                                   , "[738, 283, 492, 377, 297, 429, 282, 1863, 269, 4013]"
drop a note to pick up medication at 6 PM                                   , reminder      , "['drop', 'Ġa', 'Ġnote', 'Ġto', 'Ġpick', 'Ġup', 'Ġmedication', 'Ġat', 'Ġ6', 'Ġpm']"                                                                                    , "[720, 262, 785, 282, 1074, 325, 5049, 395, 1353, 762]"
set a reminder to defrost chicken tonight                                   , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġdef', 'ro', 'st', 'Ġchicken', 'Ġtonight']"                                                                                        , "[409, 262, 516, 282, 1563, 309, 276, 5378, 1220]"
make a note to call the helpdesk at 10 AM                                   , reminder      , "['make', 'Ġa', 'Ġnote', 'Ġto', 'Ġcall', 'Ġthe', 'Ġhelp', 'des', 'k', 'Ġat', 'Ġ10', 'Ġam']"                                                                            , "[521, 262, 785, 282, 563, 269, 1748, 503, 79, 395, 735, 855]"
nudge me next Tuesday to prepare slides                                     , reminder      , "['nudge', 'Ġme', 'Ġnext', 'Ġtuesday', 'Ġto', 'Ġprepare', 'Ġslides']"                                                                                                  , "[1536, 283, 968, 3566, 282, 2380, 3545]"
remind me in three days to check the insurance policy                       , reminder      , "['remind', 'Ġme', 'Ġin', 'Ġthree', 'Ġdays', 'Ġto', 'Ġcheck', 'Ġthe', 'Ġinsurance', 'Ġpolicy']"                                                                        , "[482, 283, 311, 1479, 3450, 282, 540, 269, 2816, 5163]"
remind me to review the code before deployment                              , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġreview', 'Ġthe', 'Ġcode', 'Ġbefore', 'Ġdep', 'lo', 'y', 'ment']"                                                                           , "[482, 283, 282, 770, 269, 1102, 890, 1458, 312, 93, 537]"
remind me to water the balcony plants on Monday                             , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġwater', 'Ġthe', 'Ġbalcony', 'Ġplants', 'Ġon', 'Ġmonday']"                                                                                  , "[482, 283, 282, 694, 269, 4078, 1136, 322, 2221]"
please remind me to pick up dry cleaning on Saturday                        , reminder      , "['please', 'Ġremind', 'Ġme', 'Ġto', 'Ġpick', 'Ġup', 'Ġdry', 'Ġcleaning', 'Ġon', 'Ġsaturday']"                                                                         , "[504, 412, 283, 282, 1074, 325, 2466, 2085, 322, 3160]"
alert me to call tech support if there's an issue                           , reminder      , "['alert', 'Ġme', 'Ġto', 'Ġcall', 'Ġtech', 'Ġsupport', 'Ġif', 'Ġthere', 'Ġbe', 'Ġan', 'Ġissue']"                                                                       , "[687, 283, 282, 563, 733, 4109, 861, 1115, 297, 316, 5319]"
give me a heads-up an hour before the meeting                               , reminder      , "['give', 'Ġme', 'Ġa', 'Ġheads', 'Ġ-', 'Ġup', 'Ġan', 'Ġhour', 'Ġbefore', 'Ġthe', 'Ġmeeting']"                                                                          , "[489, 283, 262, 1314, 344, 325, 316, 1205, 890, 269, 1038]"
remind me to send the package via courier                                   , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġsend', 'Ġthe', 'Ġpackage', 'Ġvia', 'Ġc', 'ou', 'ri', 'er']"                                                                                , "[482, 283, 282, 959, 269, 2574, 4658, 273, 275, 375, 270]"
set a notice for five minutes before the timer ends                         , reminder      , "['set', 'Ġa', 'Ġnotice', 'Ġfor', 'Ġfive', 'Ġminutes', 'Ġbefore', 'Ġthe', 'Ġtimer', 'Ġend']"                                                                           , "[409, 262, 3862, 298, 2028, 1214, 890, 269, 1785, 1355]"
help me remember to meditate at dawn tomorrow                               , reminder      , "['help', 'Ġme', 'Ġremember', 'Ġto', 'Ġmeditate', 'Ġat', 'Ġdawn', 'Ġtomorrow']"                                                                                        , "[1350, 283, 1221, 282, 1983, 395, 4182, 936]"
ping me when the timer hits zero                                            , reminder      , "['pe', 'Ġme', 'Ġwhen', 'Ġthe', 'Ġtimer', 'Ġhit', 'Ġzero']"                                                                                                            , "[738, 283, 492, 269, 1785, 682, 3480]"
set a note to start the dishwasher after dinner                             , reminder      , "['set', 'Ġa', 'Ġnote', 'Ġto', 'Ġstart', 'Ġthe', 'Ġd', 'ish', 'w', 'as', 'her', 'Ġafter', 'Ġdinner']"                                                                  , "[409, 262, 785, 282, 626, 269, 287, 520, 91, 361, 656, 804, 1719]"
remind me to check car tire pressure monthly                                , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġcheck', 'Ġcar', 'Ġtire', 'Ġpressure', 'Ġmonthly']"                                                                                         , "[482, 283, 282, 540, 747, 1559, 2251, 2565]"
remind me tomorrow to renew my gym membership                               , reminder      , "['remind', 'Ġme', 'Ġtomorrow', 'Ġto', 'Ġrenew', 'Ġmy', 'Ġgym', 'Ġmembership']"                                                                                        , "[482, 283, 936, 282, 1639, 345, 1944, 3979]"
buzz me at 10:15 to review the budget                                       , reminder      , "['buzz', 'Ġme', 'Ġat', 'Ġ10', ':', '15', 'Ġto', 'Ġreview', 'Ġthe', 'Ġbudget']"                                                                                        , "[2101, 283, 395, 735, 30, 3608, 282, 770, 269, 1879]"
drop me a reminder to mail the letter                                       , reminder      , "['drop', 'Ġme', 'Ġa', 'Ġreminder', 'Ġto', 'Ġmail', 'Ġthe', 'Ġletter']"                                                                                                , "[720, 283, 262, 516, 282, 1539, 269, 4021]"
prompt me to schedule my dental cleaning                                    , reminder      , "['prompt', 'Ġme', 'Ġto', 'Ġschedule', 'Ġmy', 'Ġdental', 'Ġcleaning']"                                                                                                 , "[3158, 283, 282, 1089, 345, 4523, 2085]"
set a reminder for the team lunch at noon                                   , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġfor', 'Ġthe', 'Ġteam', 'Ġlunch', 'Ġat', 'Ġnoon']"                                                                                        , "[409, 262, 516, 298, 269, 1562, 1548, 395, 1628]"
tell me to buy stamps on my way to work                                     , reminder      , "['tell', 'Ġme', 'Ġto', 'Ġbuy', 'Ġst', 'amps', 'Ġon', 'Ġmy', 'Ġway', 'Ġto', 'Ġwork']"                                                                                  , "[522, 283, 282, 1573, 332, 2988, 322, 345, 1742, 282, 591]"
nudge me to call the IRS before the deadline                                , reminder      , "['nudge', 'Ġme', 'Ġto', 'Ġcall', 'Ġthe', 'Ġirs', 'Ġbefore', 'Ġthe', 'Ġdeadline']"                                                                                     , "[1536, 283, 282, 563, 269, 4604, 890, 269, 1961]"
schedule a ping for the stock price check                                   , reminder      , "['schedule', 'Ġa', 'Ġping', 'Ġfor', 'Ġthe', 'Ġstock', 'Ġprice', 'Ġcheck']"                                                                                            , "[1589, 262, 1818, 298, 269, 1643, 1987, 540]"
give me an alert to check my credit score next week                         , reminder      , "['give', 'Ġme', 'Ġan', 'Ġalert', 'Ġto', 'Ġcheck', 'Ġmy', 'Ġcredit', 'Ġscore', 'Ġnext', 'Ġweek']"                                                                      , "[489, 283, 316, 1045, 282, 540, 345, 1969, 1504, 968, 718]"
please remind me to swap the laundry                                        , reminder      , "['please', 'Ġremind', 'Ġme', 'Ġto', 'Ġswap', 'Ġthe', 'Ġlaundry']"                                                                                                     , "[504, 412, 283, 282, 5055, 269, 1646]"
set a memo to order new printer ink                                         , reminder      , "['set', 'Ġa', 'Ġmemo', 'Ġto', 'Ġorder', 'Ġnew', 'Ġprinter', 'Ġink']"                                                                                                  , "[409, 262, 3978, 282, 2022, 545, 3554, 3792]"
remind me in 45 minutes to stretch my legs                                  , reminder      , "['remind', 'Ġme', 'Ġin', 'Ġ45', 'Ġminutes', 'Ġto', 'Ġstretch', 'Ġmy', 'Ġlegs']"                                                                                       , "[482, 283, 311, 3076, 1214, 282, 1704, 345, 5165]"
remind me to update the calendar invite                                     , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġupdate', 'Ġthe', 'Ġcalendar', 'Ġinvite']"                                                                                                  , "[482, 283, 282, 744, 269, 1782, 4014]"
alert me when battery hits 20 percent                                       , reminder      , "['alert', 'Ġme', 'Ġwhen', 'Ġbattery', 'Ġhit', 'Ġ20', 'Ġpercent']"                                                                                                     , "[687, 283, 492, 1385, 682, 745, 3437]"
ping me two hours before my flight                                          , reminder      , "['pe', 'Ġme', 'Ġtwo', 'Ġhours', 'Ġbefore', 'Ġmy', 'Ġflight']"                                                                                                         , "[738, 283, 2350, 2783, 890, 345, 1598]"
drop a note to follow up with the recruiter                                 , reminder      , "['drop', 'Ġa', 'Ġnote', 'Ġto', 'Ġfollow', 'Ġup', 'Ġwith', 'Ġthe', 'Ġrec', 'ru', 'it', 'er']"                                                                          , "[720, 262, 785, 282, 1514, 325, 367, 269, 642, 2014, 280, 270]"
help me remember to defog the bathroom mirror                               , reminder      , "['help', 'Ġme', 'Ġremember', 'Ġto', 'Ġdef', 'og', 'Ġthe', 'Ġbathroom', 'Ġmirror']"                                                                                    , "[1350, 283, 1221, 282, 1563, 459, 269, 3971, 2844]"
set a reminder to organize the bookshelf                                    , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġorganize', 'Ġthe', 'Ġbook', 'sh', 'elf']"                                                                                         , "[409, 262, 516, 282, 5170, 269, 725, 419, 2202]"
nudge me to practice piano at 4 PM                                          , reminder      , "['nudge', 'Ġme', 'Ġto', 'Ġpractice', 'Ġpiano', 'Ġat', 'Ġ4', 'Ġpm']"                                                                                                   , "[1536, 283, 282, 2113, 1518, 395, 1297, 762]"
remind me to water the succulents weekly                                    , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġwater', 'Ġthe', 'Ġsuc', 'cul', 'ents', 'Ġweekly']"                                                                                         , "[482, 283, 282, 694, 269, 2525, 4254, 3338, 1769]"
remind me to charge the electric scooter                                    , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġcharge', 'Ġthe', 'Ġelectric', 'Ġsc', 'oot', 'er']"                                                                                         , "[482, 283, 282, 3070, 269, 1468, 480, 512, 270]"
prompt me to call customer service                                          , reminder      , "['prompt', 'Ġme', 'Ġto', 'Ġcall', 'Ġcustomer', 'Ġservice']"                                                                                                           , "[3158, 283, 282, 563, 3121, 1465]"
set an alert for the webinar at 7 PM                                        , reminder      , "['set', 'Ġan', 'Ġalert', 'Ġfor', 'Ġthe', 'Ġwebinar', 'Ġat', 'Ġ7', 'Ġpm']"                                                                                             , "[409, 316, 1045, 298, 269, 2105, 395, 1593, 762]"
remind me to feed the fish twice a day                                      , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġfeed', 'Ġthe', 'Ġfish', 'Ġtw', 'ice', 'Ġa', 'Ġday']"                                                                                       , "[482, 283, 282, 1737, 269, 2291, 910, 499, 262, 872]"
ping me to check the parking meter                                          , reminder      , "['pe', 'Ġme', 'Ġto', 'Ġcheck', 'Ġthe', 'Ġpark', 'ing', 'Ġmeter']"                                                                                                     , "[738, 283, 282, 540, 269, 2928, 296, 3754]"
ask me to clear notifications at 8 PM                                       , reminder      , "['ask', 'Ġme', 'Ġto', 'Ġclear', 'Ġnotifications', 'Ġat', 'Ġ8', 'Ġpm']"                                                                                                , "[1151, 283, 282, 2336, 2093, 395, 1594, 762]"
remind me to clean the keyboard this weekend                                , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġclean', 'Ġthe', 'Ġkeyboard', 'Ġthis', 'Ġweekend']"                                                                                         , "[482, 283, 282, 746, 269, 4168, 346, 1338]"
alert me to update my password monthly                                      , reminder      , "['alert', 'Ġme', 'Ġto', 'Ġupdate', 'Ġmy', 'Ġpassword', 'Ġmonthly']"                                                                                                   , "[687, 283, 282, 744, 345, 2387, 2565]"
schedule a reminder to practice yoga daily                                  , reminder      , "['schedule', 'Ġa', 'Ġreminder', 'Ġto', 'Ġpractice', 'Ġyoga', 'Ġdaily']"                                                                                               , "[1589, 262, 516, 282, 2113, 1189, 1490]"
notify me when it's time for a break                                        , reminder      , "['notify', 'Ġme', 'Ġwhen', 'Ġit', 'Ġbe', 'Ġtime', 'Ġfor', 'Ġa', 'Ġbreak']"                                                                                            , "[866, 283, 492, 377, 297, 429, 298, 262, 947]"
set a reminder to check the mail folder at noon                             , reminder      , "['set', 'Ġa', 'Ġreminder', 'Ġto', 'Ġcheck', 'Ġthe', 'Ġmail', 'Ġfolder', 'Ġat', 'Ġnoon']"                                                                              , "[409, 262, 516, 282, 540, 269, 1539, 2087, 395, 1628]"
wake me up at 6 AM                                                          , reminder      , "['wake', 'Ġme', 'Ġup', 'Ġat', 'Ġ6', 'Ġam']"                                                                                                                           , "[1590, 283, 325, 395, 1353, 855]"
don't let me forget to call mom tonight                                     , reminder      , "['do', 'Ġnot', 'Ġlet', 'Ġme', 'Ġforget', 'Ġto', 'Ġcall', 'Ġmom', 'Ġtonight']"                                                                                         , "[450, 427, 1371, 283, 843, 282, 563, 1011, 1220]"
nudge me to check the oven in 30 minutes                                    , reminder      , "['nudge', 'Ġme', 'Ġto', 'Ġcheck', 'Ġthe', 'Ġoven', 'Ġin', 'Ġ30', 'Ġminutes']"                                                                                         , "[1536, 283, 282, 540, 269, 2305, 311, 1982, 1214]"
make sure I take my medicine at 9 PM                                        , reminder      , "['make', 'Ġsure', 'Ġi', 'Ġtake', 'Ġmy', 'Ġmedicine', 'Ġat', 'Ġ9', 'Ġpm']"                                                                                             , "[521, 1169, 323, 837, 345, 3511, 395, 1354, 762]"
buzz me when it's time to leave for the meeting                             , reminder      , "['buzz', 'Ġme', 'Ġwhen', 'Ġit', 'Ġbe', 'Ġtime', 'Ġto', 'Ġleave', 'Ġfor', 'Ġthe', 'Ġmeeting']"                                                                         , "[2101, 283, 492, 377, 297, 429, 282, 1127, 298, 269, 1038]"
give me a heads-up to water the plants this evening                         , reminder      , "['give', 'Ġme', 'Ġa', 'Ġheads', 'Ġ-', 'Ġup', 'Ġto', 'Ġwater', 'Ġthe', 'Ġplants', 'Ġthis', 'Ġevening']"                                                                , "[489, 283, 262, 1314, 344, 325, 282, 694, 269, 1136, 346, 1253]"
tap me when it's time to start cooking                                      , reminder      , "['tap', 'Ġme', 'Ġwhen', 'Ġit', 'Ġbe', 'Ġtime', 'Ġto', 'Ġstart', 'Ġcook']"                                                                                             , "[2889, 283, 492, 377, 297, 429, 282, 626, 1012]"
alert me to pick up the kids at 3 PM                                        , reminder      , "['alert', 'Ġme', 'Ġto', 'Ġpick', 'Ġup', 'Ġthe', 'Ġkids', 'Ġat', 'Ġ3', 'Ġpm']"                                                                                         , "[687, 283, 282, 1074, 325, 269, 1846, 395, 909, 762]"
poke me to send the email before noon                                       , reminder      , "['poke', 'Ġme', 'Ġto', 'Ġsend', 'Ġthe', 'Ġemail', 'Ġbefore', 'Ġnoon']"                                                                                                , "[3457, 283, 282, 959, 269, 964, 890, 1628]"
signal me to take a break every hour                                        , reminder      , "['signal', 'Ġme', 'Ġto', 'Ġtake', 'Ġa', 'Ġbreak', 'Ġevery', 'Ġhour']"                                                                                                 , "[4115, 283, 282, 837, 262, 947, 1129, 1205]"
notify me to attend the webinar at 4 PM                                     , reminder      , "['notify', 'Ġme', 'Ġto', 'Ġattend', 'Ġthe', 'Ġwebinar', 'Ġat', 'Ġ4', 'Ġpm']"                                                                                          , "[866, 283, 282, 3105, 269, 2105, 395, 1297, 762]"
ping me to call the dentist tomorrow morning                                , reminder      , "['pe', 'Ġme', 'Ġto', 'Ġcall', 'Ġthe', 'Ġdentist', 'Ġtomorrow', 'Ġmorning']"                                                                                           , "[738, 283, 282, 563, 269, 1791, 936, 865]"
remind me to check the laundry in 45 minutes                                , reminder      , "['remind', 'Ġme', 'Ġto', 'Ġcheck', 'Ġthe', 'Ġlaundry', 'Ġin', 'Ġ45', 'Ġminutes']"                                                                                     , "[482, 283, 282, 540, 269, 1646, 311, 3076, 1214]"
let me know when it's time to feed the cat                                  , reminder      , "['let', 'Ġme', 'Ġknow', 'Ġwhen', 'Ġit', 'Ġbe', 'Ġtime', 'Ġto', 'Ġfeed', 'Ġthe', 'Ġcat']"                                                                              , "[580, 283, 836, 492, 377, 297, 429, 282, 1737, 269, 1092]"
prompt me to review the report before 5 PM                                  , reminder      , "['prompt', 'Ġme', 'Ġto', 'Ġreview', 'Ġthe', 'Ġreport', 'Ġbefore', 'Ġ5', 'Ġpm']"                                                                                       , "[3158, 283, 282, 770, 269, 1330, 890, 899, 762]"
tell me to submit the assignment by midnight                                , reminder      , "['tell', 'Ġme', 'Ġto', 'Ġsubmit', 'Ġthe', 'Ġassignment', 'Ġby', 'Ġmidnight']"                                                                                         , "[522, 283, 282, 1863, 269, 3468, 724, 2577]"
wake me up for my flight at 4 AM                                            , reminder      , "['wake', 'Ġme', 'Ġup', 'Ġfor', 'Ġmy', 'Ġflight', 'Ġat', 'Ġ4', 'Ġam']"                                                                                                 , "[1590, 283, 325, 298, 345, 1598, 395, 1297, 855]"
warn me about the traffic before I leave                                    , reminder      , "['warn', 'Ġme', 'Ġabout', 'Ġthe', 'Ġtraffic', 'Ġbefore', 'Ġi', 'Ġleave']"                                                                                             , "[3681, 283, 449, 269, 1954, 890, 323, 1127]"
cue me to start my workout at 7 PM                                          , reminder      , "['cue', 'Ġme', 'Ġto', 'Ġstart', 'Ġmy', 'Ġworkout', 'Ġat', 'Ġ7', 'Ġpm']"                                                                                               , "[1107, 283, 282, 626, 345, 835, 395, 1593, 762]"
inform me when the package is out for delivery                              , reminder      , "['inform', 'Ġme', 'Ġwhen', 'Ġthe', 'Ġpackage', 'Ġbe', 'Ġout', 'Ġfor', 'Ġdelivery']"                                                                                   , "[4409, 283, 492, 269, 2574, 297, 458, 298, 2511]"
buzz me to join the conference call at 2 PM                                 , reminder      , "['buzz', 'Ġme', 'Ġto', 'Ġjo', 'in', 'Ġthe', 'Ġconference', 'Ġcall', 'Ġat', 'Ġ2', 'Ġpm']"                                                                              , "[2101, 283, 282, 2197, 263, 269, 1842, 563, 395, 639, 762]"
